rentree_scolaire,region_academique,academie,departement,commune,numero_lycee,denomination_principale,patronyme,secteur,nombre_d_eleves,2ndes_gt,2ndes_gt_filles,2ndes_gt_garcons,2ndes_gt_lv1_allemand,2ndes_gt_lv1_anglais,2ndes_gt_lv1_espagnol
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,COMMENTRY,0031044U,LYCEE POLYVALENT,GENEVIEVE VINCENT,PUBLIC,73,16,13,3,0,16,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,PUBLIC,1613,532,291,241,18,497,17
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030072M,LYCEE GENERAL PRIVE,SAINT PIERRE,PRIVE,313,116,59,57,0,116,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0031082K,LYCEE POLYVALENT,VALERY LARBAUD,PUBLIC,218,55,42,13,0,49,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,GANNAT,0030073N,LYCEE GEN.ET TECHNOL.PRIVE,SAINTE PROCULE,PRIVE,49,18,15,3,0,18,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030025L,LYCEE GENERAL,MADAME DE STAEL,PUBLIC,975,322,223,99,10,292,20
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030026M,LPO LYCEE DES METIERS,PAUL CONSTANS,PUBLIC,868,305,136,169,0,305,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030445T,LYCEE GENERAL PRIVE,SAINT-JOSEPH,PRIVE,73,28,11,17,0,28,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MOULINS,0030036Y,LYCEE GENERAL,THEODORE DE BANVILLE,PUBLIC,1008,348,182,166,3,345,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MOULINS,0030084A,LYCEE GENERAL PRIVE,SAINT BENOIT,PRIVE,114,45,29,16,0,45,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MOULINS,0031041R,LYCEE TECHNOLOGIQUE PRIVE,ANNA RODIER,PRIVE,71,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,SAINT-POURCAIN-SUR-SIOULE,0030044G,LYCEE GENERAL,BLAISE DE VIGENERE,PUBLIC,363,137,77,60,0,137,0
